#;$id;libellé SEDA;libellé SEDA 0.2;libellé anglais
;;cpc;cp;Ajyíninka Apurucayali
;;qxs;qx;Southern Qiang
;;kzk;kz;Kazukuru
;;bbr;bb;Girawa
;;lkt;lk;Lakota
;;ram;ra;Canela
;;kyx;ky;Rapoisi
;;nsv;ns;Southwestern Nisu
;;noy;no;Noy
;;sol;so;Solos
;;mso;ms;Mombum
;;did;di;Didinga
;;vml;vm;Malgana
;;nmd;nm;Ndumu
;;keb;ke;Kélé
;;vrt;vr;Burmbar
;;ten;te;Tama (Colombia)
;;mnv;mn;Rennell-Bellona
;;rji;rj;Raji
;;isr;is;Israeli Sign Language
;;lij;li;Ligurian
;;mbe;mb;Molale
;;her;he;Herero
;;mhs;mh;Buru (Indonesia)
;;drl;dr;Darling
;;any;an;Anyin
;;hca;hc;Andaman Creole Hindi
;;aez;ae;Aeka
;;gah;ga;Alekano
;;hos;ho;Ho Chi Minh City Sign Language
;;poe;po;San Juan Atzingo Popoloca
;;vaj;va;Vasekela Bushman
;;ted;te;Tepo Krumen
;;irh;ir;Irarutu
;;zpq;zp;Zoogocho Zapotec
;;shl;sh;Shendu
;;pev;pe;Pémono
;;tee;te;Huehuetla Tepehua
;;nhk;nh;Isthmus-Cosoleacaque Nahuatl
;;jpa;jp;Jewish Palestinian Aramaic
;;bau;ba;Bada (Nigeria)
;;vmx;vm;Tamazola Mixtec
;;opt;op;Opata
;;swy;sw;Sarua
;;dgd;dg;Dagaari Dioula
;;bfc;bf;Northern Bai
;;ndd;nd;Nde-Nsele-Nta
;;dmb;dm;Mombo Dogon
;;xlu;xl;Cuneiform Luwian
;;boo;bo;Tiemacèwè Bozo
;;xsi;xs;Sio
;;kst;ks;Winyé
;;kei;ke;Kei
;;bzn;bz;Boano (Maluku)
;;kmx;km;Waboda
;;vsi;vs;Moldova Sign Language
;;rna;rn;Runa
;;duo;du;Dupaninan Agta
;;mtl;mt;Montol
;;kmb;km;Kimbundu
;;mbn;mb;Macaguán
;;wti;wt;Berta
;;mej;me;Meyah
;;bab;ba;Bainouk-Gunyuño
;;dtp;dt;Central Dusun
;;ymr;ym;Malasar
;;trx;tr;Tringgus-Sembaan Bidayuh
;;lbx;lb;Lawangan
;;cst;cs;Northern Ohlone
;;kxf;kx;Manumanaw Karen
;;jbj;jb;Arandai
;;mnj;mn;Munji
;;kmc;km;Southern Dong
;;hsl;hs;Hausa Sign Language
;;fir;fi;Firan
;;kad;ka;Kadara
;;obr;ob;Old Burmese
;;nde;nd;North Ndebele
;;jaz;ja;Jawe
;;kbx;kb;Ap Ma
;;ivb;iv;Ibatan
;;ccq;cc;Chaungtha
;;mfm;mf;Marghi South
;;mcj;mc;Mvanip
;;ksq;ks;Kwaami
;;fln;fl;Flinders Island
;;hsn;hs;Xiang Chinese
;;col;co;Columbia-Wenatchi
;;brd;br;Baraamu
;;dhu;dh;Dhurga
;;had;ha;Hatam
;;yen;ye;Yendang
;;nbq;nb;Nggem
;;avt;av;Au
;;kex;ke;Kukna
;;goq;go;Gorap
;;bvc;bv;Baelelea
;;mqv;mq;Mosimo
;;geg;ge;Gengle
;;apx;ap;Aputai
;;zaw;za;Mitla Zapotec
;;bmw;bm;Bomwali
;;vsv;vs;Valencian Sign Language
;;wbh;wb;Wanda
;;kgg;kg;Kusunda
;;mjd;mj;Northwest Maidu
;;lbw;lb;Tolaki
;;agt;ag;Central Cagayan Agta
;;mjx;mj;Mahali
;;abp;ab;Abellen Ayta
;;mxf;mx;Malgbe
;;tbx;tb;Kapin
;;stj;st;Matya Samo
;;tbn;tb;Barro Negro Tunebo
;;pwm;pw;Molbog
;;mav;ma;Sateré-Mawé
;;ldj;ld;Lemoro
;;hod;ho;Holma
;;tld;tl;Talaud
;;ome;om;Omejes
;;koz;ko;Korak
;;epo;ep;Esperanto
;;vmi;vm;Miwa
;;hrk;hr;Haruku
;;hat;ha;Haitian
;;ckb;ck;Central Kurdish
;;abr;ab;Abron
;;xcu;xc;Curonian
;;asz;as;As
;;sca;sc;Sansu
;;unm;un;Unami
;;cvn;cv;Valle Nacional Chinantec
;;mdv;md;Santa Lucía Monteverde Mixtec
;;kin;ki;Kinyarwanda
;;uri;ur;Urim
;;pth;pt;Pataxó Hã-Ha-Hãe
;;ium;iu;Iu Mien
;;gau;ga;Mudhili Gadaba
;;yua;yu;Yucateco
;;pux;pu;Puare
;;nad;na;Nijadali
;;xkx;xk;Karore
;;lmj;lm;West Lembata
;;dmg;dm;Upper Kinabatangan
;;gqi;gq;Guiqiong
;;xri;xr;Krikati-Timbira
;;ktk;kt;Kaniet
;;oma;om;Omaha-Ponca
;;ghr;gh;Ghera
;;tbo;tb;Tawala
;;bvk;bv;Bukat
;;cgk;cg;Chocangacakha
;;acy;ac;Cypriot Arabic
;;bdb;bd;Basap
;;lim;li;Limburgan
;;hsb;hs;Upper Sorbian
;;oko;ok;Old Korean (3rd-9th cent.)
;;avd;av;Alviri-Vidari
;;lew;le;Ledo Kaili
;;scg;sc;Sanggau
;;cmt;cm;Camtho
;;cdg;cd;Chamari
;;gal;ga;Galoli
;;pgk;pg;Rerep
;;nqk;nq;Kura Ede Nago
;;iii;ii;Sichuan Yi
;;kqi;kq;Koitabu
;;fah;fa;Baissa Fali
;;gof;go;Gofa
;;zlm;zl;Malay (individual language)
;;nhw;nh;Western Huasteca Nahuatl
;;khb;kh;Lü
;;utr;ut;Etulo
;;lwh;lw;White Lachi
;;rnl;rn;Ranglong
;;kkc;kk;Odoodee
;;seg;se;Segeju
;;qus;qu;Santiago del Estero Quichua
;;bfh;bf;Blafe
;;stm;st;Setaman
;;bjh;bj;Bahinemo
;;etn;et;Eton (Vanuatu)
;;kjg;kj;Khmu
;;bww;bw;Bwa
;;tfn;tf;Tanaina
;;lst;ls;Trinidad and Tobago Sign Language
;;rwk;rw;Rwa
;;wgi;wg;Wahgi
;;cno;cn;Con
;;ill;il;Iranun
;;twa;tw;Twana
;;gac;ga;Mixed Great Andamanese
;;rim;ri;Nyaturu
;;lea;le;Lega-Shabunda
;;zgm;zg;Minz Zhuang
;;bqz;bq;Bakaka
;;anf;an;Animere
;;nbu;nb;Rongmei Naga
;;tkb;tk;Buksa
;;myp;my;Pirahã
;;eso;es;Estonian Sign Language
;;zrs;zr;Mairasi
;;bwp;bw;Mandobo Bawah
;;pyn;py;Poyanáwa
;;prx;pr;Purik
;;tmm;tm;Tai Thanh
;;omi;om;Omi
;;pij;pi;Pijao
;;khr;kh;Kharia
;;mkc;mk;Siliput
;;kig;ki;Kimaama
;;bbh;bb;Bugan
;;hea;he;Northern Qiandong Miao
;;wnm;wn;Wanggamala
;;kcp;kc;Kanga
;;dsq;ds;Tadaksahak
;;lax;la;Tiwa
;;slu;sl;Selaru
;;bps;bp;Sarangani Blaan
;;nwe;nw;Ngwe
;;niz;ni;Ningil
;;kal;ka;Kalaallisut
;;psr;ps;Portuguese Sign Language
;;ega;eg;Ega
;;rnp;rn;Rongpo
;;wab;wa;Wab
;;aul;au;Aulua
;;udu;ud;Uduk
;;aws;aw;South Awyu
;;xzp;xz;Ancient Zapotec
;;ktt;kt;Ketum
;;ckh;ck;Chak
;;wao;wa;Wappo
;;bcy;bc;Bacama
;;hlb;hl;Halbi
;;bcr;bc;Babine
;;fuf;fu;Pular
;;pru;pr;Puragi
;;jee;je;Jerung
;;mhf;mh;Mamaa
;;yao;ya;Yao
;;thm;th;Aheu
;;neq;ne;North Central Mixe
;;xwg;xw;Kwegu
;;tum;tu;Tumbuka
;;tpu;tp;Tampuan
;;sgb;sg;Mag-antsi Ayta
;;bvd;bv;Baeggu
;;fal;fa;South Fali
;;tui;tu;Tupuri
;;bvn;bv;Buna
;;cob;co;Chicomuceltec
;;gbs;gb;Gbesi Gbe
;;pmk;pm;Pamlico
;;ald;al;Alladian
;;tnq;tn;Taino
;;haf;ha;Haiphong Sign Language
;;sqa;sq;Shama-Sambuga
;;lkd;lk;Lakondê
;;bej;be;Beja
;;mlt;ml;Maltese
;;eiv;ei;Askopan
;;pua;pu;Western Highland Purepecha
;;bkp;bk;Boko (Democratic Republic of Congo)
;;bls;bl;Balaesang
;;tnz;tn;Tonga (Thailand)
;;kcj;kc;Kobiana
;;bmp;bm;Bulgebi
;;mrp;mr;Morouas
;;bht;bh;Bhattiyali
;;lsm;ls;Saamia
;;zmu;zm;Muruwari
;;myy;my;Macuna
;;czk;cz;Knaanic
;;bgj;bg;Bangolan
;;luo;lu;Luo (Kenya and Tanzania)
;;nja;nj;Nzanyi
;;auh;au;Aushi
;;bch;bc;Bariai
;;nmc;nm;Ngam
;;srv;sr;Southern Sorsoganon
;;pdi;pd;Pa Di
;;max;ma;North Moluccan Malay
;;gcr;gc;Guianese Creole French
;;tal;ta;Tal
;;skq;sk;Sininkere
;;trl;tr;Traveller Scottish
;;trh;tr;Turaka
;;mqf;mq;Momuna
;;wer;we;Weri
;;sif;si;Siamou
;;rub;ru;Gungu
;;vic;vi;Virgin Islands Creole English
;;oji;oj;Ojibwa
;;cla;cl;Ron
;;gwb;gw;Gwa
;;yna;yn;Aluo
;;lif;li;Limbu
;;trs;tr;Chicahuaxtla Triqui
;;mxx;mx;Mahou
;;thw;th;Thudam
;;abh;ab;Tajiki Arabic
;;oru;or;Ormuri
;;vay;va;Wayu
;;sym;sy;Maya Samo
;;aap;aa;Pará Arára
;;mcl;mc;Macaguaje
;;yij;yi;Yindjibarndi
;;ukw;uk;Ukwuani-Aboh-Ndoni
;;rmk;rm;Romkun
;;tsz;ts;Purepecha
;;kww;kw;Kwinti
;;nak;na;Nakanai
;;aag;aa;Ambrak
;;kua;ku;Kuanyama
;;diz;di;Ding
;;spd;sp;Saep
;;bxp;bx;Bebil
;;psn;ps;Panasuan
;;jaa;ja;Jamamadí
;;kju;kj;Kashaya
;;bzy;bz;Obanliku
;;kzs;kz;Sugut Dusun
;;mbv;mb;Mbulungish
;;nge;ng;Ngemba
;;mvs;mv;Massep
;;mqa;mq;Maba (Indonesia)
;;skx;sk;Seko Padang
;;nrr;nr;Norra
;;fly;fl;Tsotsitaal
;;mnl;mn;Tiale
;;kpi;kp;Kofei
;;gum;gu;Guambiano
;;abw;ab;Pal
;;ven;ve;Venda
;;sop;so;Songe
;;pbi;pb;Parkwa
;;ons;on;Ono
;;mse;ms;Musey
;;loj;lo;Lou
;;ids;id;Idesa
;;dui;du;Dumun
;;zsm;zs;Standard Malay
;;pfe;pf;Peere
;;xns;xn;Kanashi
;;sxu;sx;Upper Saxon
;;kmg;km;Kâte
;;fia;fi;Nobiin
;;sbe;sb;Saliba
;;qxh;qx;Panao Huánuco Quechua
;;xhu;xh;Hurrian
;;nly;nl;Nyamal
;;bog;bo;Bamako Sign Language
;;mis;mi;Uncoded languages
;;bgx;bg;Balkan Gagauz Turkish
;;bsm;bs;Busami
;;ktd;kt;Kokata
;;lnm;ln;Langam
;;glw;gl;Glavda
;;kpb;kp;Mullu Kurumba
;;sgm;sg;Singa
;;hoo;ho;Holoholo
;;fut;fu;Futuna-Aniwa
;;ybb;yb;Yemba
;;wig;wi;Wik-Ngathana
;;irn;ir;Irántxe
;;zoh;zo;Chimalapa Zoque
;;iti;it;Inlaod Itneg
;;pei;pe;Chichimeca-Jonaz
;;grw;gr;Gweda
;;lga;lg;Lungga
;;ndr;nd;Ndoola
;;aby;ab;Aneme Wake
;;ndp;nd;Ndo
;;nmn;nm;!Xóõ
;;ach;ac;Acoli
;;dya;dy;Dyan
;;smt;sm;Simte
;;oge;og;Old Georgian
;;ncz;nc;Natchez
;;mhx;mh;Maru
;;slm;sl;Pangutaran Sama
;;bid;bi;Bidiyo
;;kqo;kq;Eastern Krahn
;;txy;tx;Tanosy Malagasy
;;nzb;nz;Njebi
;;clo;cl;Lowland Oaxaca Chontal
;;wle;wl;Wolane
;;xeb;xe;Eblan
;;wln;wl;Walloon
;;psd;ps;Plains Indian Sign Language
;;kfh;kf;Kurichiya
;;qwt;qw;Kwalhioqua-Tlatskanai
;;pnu;pn;Jiongnai Bunu
;;nav;na;Navajo
;;drr;dr;Dororo
;;tiw;ti;Tiwi
;;nlk;nl;Ninia Yali
;;vah;va;Varhadi-Nagpuri
;;ywa;yw;Kalou
;;kkk;kk;Kokota
;;tbf;tb;Mandara
;;pcg;pc;Paniya
;;kfp;kf;Korwa
;;jus;ju;Jumla Sign Language
;;gmx;gm;Magoma
;;nul;nu;Nusa Laut
;;umu;um;Munsee
;;bho;bh;Bhojpuri
;;mij;mi;Abar
;;kjn;kj;Kunjen
;;kat;ka;Georgian
;;bus;bu;Bokobaru
;;lna;ln;Langbashe
;;lat;la;Latin
;;hit;hi;Hittite
;;gba;gb;Gbaya (Central African Republic)
;;tpm;tp;Tampulma
;;mze;mz;Morawa
;;mks;mk;Silacayoapan Mixtec
;;shu;sh;Chadian Arabic
;;cwg;cw;Chewong
;;thp;th;Thompson
;;sbv;sb;Sabine
;;mss;ms;West Masela
;;nce;nc;Yale
;;ebr;eb;Ebrié
;;xna;xn;Ancient North Arabian
;;saz;sa;Saurashtra
;;mul;mu;Multiple languages
;;bpx;bp;Palya Bareli
;;bhj;bh;Bahing
;;hrx;hr;Hunsrik
;;pkc;pk;Paekche
;;mqj;mq;Mamasa
;;kmy;km;Koma
;;tne;tn;Tinoc Kallahan
;;coy;co;Coyaima
;;awx;aw;Awara
;;acq;ac;Ta'izzi-Adeni Arabic
;;big;bi;Biangai
;;xmk;xm;Ancient Macedonian
;;tmg;tm;Ternateño
;;rpn;rp;Repanbitip
;;wrs;wr;Waris
;;ema;em;Emai-Iuleha-Ora
;;nnh;nn;Ngiemboon
;;cbj;cb;Ede Cabe
;;tip;ti;Trimuris
;;crd;cr;Coeur d'Alene
;;kxt;kx;Koiwat
;;kng;kn;Koongo
;;bhc;bh;Biga
;;zmw;zm;Mbo (Democratic Republic of Congo)
;;umd;um;Umbindhamu
;;uvl;uv;Lote
;;llx;ll;Lauan
;;ylo;yl;Naluo Yi
;;mus;mu;Creek
;;lgm;lg;Lega-Mwenga
;;tow;to;Jemez
;;jii;ji;Jiiddu
;;ywl;yw;Western Lalu
;;rat;ra;Razajerdi
;;spm;sp;Sepen
;;dho;dh;Dhodia
;;blj;bl;Bolongan
;;sne;sn;Bau Bidayuh
;;koq;ko;Kota (Gabon)
;;wmn;wm;Waamwang
;;mgi;mg;Lijili
;;wuv;wu;Wuvulu-Aua
;;nrx;nr;Ngurmbur
;;xcc;xc;Camunic
;;ayr;ay;Central Aymara
;;apm;ap;Mescalero-Chiricahua Apache
;;wap;wa;Wapishana
;;cjp;cj;Cabécar
;;sae;sa;Sabanê
;;cat;ca;Catalan
;;xno;xn;Anglo-Norman
;;pli;pl;Pali
;;kvz;kv;Tsakwambo
;;bba;bb;Baatonum
;;nhm;nh;Morelos Nahuatl
;;waf;wa;Wakoná
;;cbb;cb;Cabiyarí
;;dih;di;Kumiai
;;hlu;hl;Hieroglyphic Luwian
;;bcs;bc;Kohumono
;;kiu;ki;Kirmanjki (individual language)
;;hir;hi;Himarimã
;;asl;as;Asilulu
;;obk;ob;Southern Bontok
;;mnz;mn;Moni
;;non;no;Old Norse
;;ddi;dd;West Goodenough
;;tdk;td;Tambas
;;slf;sl;Swiss-Italian Sign Language
;;ceb;ce;Cebuano
;;wlw;wl;Walak
;;mrd;mr;Western Magar
;;ttt;tt;Muslim Tat
;;chz;ch;Ozumacín Chinantec
;;wax;wa;Watam
;;baf;ba;Nubaca
;;xkq;xk;Koroni
;;wrz;wr;Waray (Australia)
;;pae;pa;Pagibete
;;bzt;bz;Brithenig
;;xso;xs;Solano
;;xiv;xi;Indus Valley Language
;;yiq;yi;Miqie
;;lgh;lg;Laghuu
;;sis;si;Siuslaw
;;sra;sr;Saruga
;;taw;ta;Tai
;;pia;pi;Pima Bajo
;;loq;lo;Lobala
;;ise;is;Italian Sign Language
;;auu;au;Auye
;;mmy;mm;Migaama
;;thi;th;Tai Long
;;ahn;ah;Àhàn
;;hud;hu;Huaulu
;;chg;ch;Chagatai
;;waw;wa;Waiwai
;;wuy;wu;Wauyai
;;riu;ri;Riung
;;bxw;bx;Bankagooma
;;mla;ml;Malo
;;psy;ps;Piscataway
;;faz;fa;Northwestern Fars
;;ktx;kt;Kaxararí
;;nbn;nb;Kuri
;;mfg;mf;Mixifore
;;mqs;mq;West Makian
;;kvm;kv;Kendem
;;xmy;xm;Mayaguduna
;;daf;da;Dan
;;pav;pa;Pakaásnovos
;;wnc;wn;Wantoat
;;tql;tq;Lehali
;;muz;mu;Mursi
;;hne;hn;Chhattisgarhi
;;qxp;qx;Puno Quechua
;;swn;sw;Sawknah
;;hue;hu;San Francisco Del Mar Huave
;;kgu;kg;Kobol
;;zch;zc;Central Hongshuihe Zhuang
;;bla;bl;Siksika
;;pax;pa;Pankararé
;;kdz;kd;Kwaja
;;cpy;cp;South Ucayali Ashéninka
;;scs;sc;North Slavey
;;mpn;mp;Mindiri
;;mzj;mz;Manya
;;mny;mn;Manyawa
;;elk;el;Elkei
;;mlg;ml;Malagasy
;;kyh;ky;Karok
;;cps;cp;Capiznon
;;ssb;ss;Southern Sama
;;ojb;oj;Northwestern Ojibwa
;;bmg;bm;Bamwe
;;yaa;ya;Yaminahua
;;tto;tt;Lower Ta'oih
;;hvv;hv;Santa María Del Mar Huave
;;ade;ad;Adele
;;luv;lu;Luwati
;;xps;xp;Pisidian
;;tim;ti;Timbe
;;elx;el;Elamite
;;cbr;cb;Cashibo-Cacataibo
;;crv;cr;Chaura
;;ukr;uk;Ukrainian
;;bkk;bk;Brokskat
;;moq;mo;Mor (Bomberai Peninsula)
;;uji;uj;Tanjijili
;;mfp;mf;Makassar Malay
;;nbt;nb;Na
;;zpu;zp;Yalálag Zapotec
;;tgq;tg;Tring
;;ral;ra;Ralte
;;nsd;ns;Southern Nisu
;;brg;br;Baure
;;bxb;bx;Belanda Bor
;;xcm;xc;Comecrudo
;;knn;kn;Konkani (individual language)
;;aoi;ao;Anindilyakwa
;;opm;op;Oksapmin
;;kvy;kv;Yintale Karen
;;zpp;zp;El Alto Zapotec
;;sze;sz;Seze
;;str;st;Straits Salish
;;glo;gl;Galambu
;;giq;gi;Green Gelao
;;aft;af;Afitti
;;amk;am;Ambai
;;mwl;mw;Mirandese
;;zao;za;Ozolotepec Zapotec
;;ull;ul;Ullatan
;;msr;ms;Mongolian Sign Language
;;nkf;nk;Inpui Naga
;;mdy;md;Male (Ethiopia)
;;lud;lu;Ludian
;;snl;sn;Sangil
;;zar;za;Rincón Zapotec
;;ras;ra;Tegali
;;mbh;mb;Mangseng
;;dig;di;Digo
;;pud;pu;Punan Aput
;;nom;no;Nocamán
;;jio;ji;Jiamao
;;jyy;jy;Jaya
;;oml;om;Ombo
;;dzn;dz;Dzando
;;kew;ke;West Kewa
;;wbb;wb;Wabo
;;tda;td;Tagdal
;;poh;po;Poqomchi'
;;bzs;bz;Brazilian Sign Language
;;lig;li;Ligbi
;;kea;ke;Kabuverdianu
;;urb;ur;Urubú-Kaapor
;;coz;co;Chochotec
;;fer;fe;Feroge
;;ytl;yt;Tanglang
;;kyw;ky;Kudmali
;;und;un;Undetermined
;;unk;un;Enawené-Nawé
;;mtm;mt;Mator
;;kzw;kz;Karirí-Xocó
;;bew;be;Betawi
;;ruq;ru;Megleno Romanian
;;byn;by;Bilin
;;zah;za;Zangwal
;;dby;db;Dibiyaso
;;bzh;bz;Mapos Buang
;;xsv;xs;Sudovian
;;fap;fa;Palor
;;mty;mt;Nabi
;;hux;hu;Nüpode Huitoto
;;jbr;jb;Jofotek-Bromnya
;;oro;or;Orokolo
;;com;co;Comanche
;;gbf;gb;Gaikundi
;;tdd;td;Tai Nüa
;;moc;mo;Mocoví
;;cdn;cd;Chaudangsi
;;gab;ga;Gabri
;;teo;te;Teso
;;aqp;aq;Atakapa
;;kmu;km;Kanite
;;nsr;ns;Maritime Sign Language
;;htx;ht;Middle Hittite
;;akv;ak;Akhvakh
;;bbs;bb;Bakpinka
;;xpy;xp;Puyo
;;lrk;lr;Loarki
;;klr;kl;Khaling
;;pbc;pb;Patamona
;;nsw;ns;Navut
;;nkt;nk;Nyika (Tanzania)
;;kyg;ky;Keyagana
;;akl;ak;Aklanon
;;ekl;ek;Kol
;;bxh;bx;Buhutu
;;ldi;ld;Laari
;;nlz;nl;Nalögo
;;des;de;Desano
;;nkq;nk;Nkami
;;sab;sa;Buglere
;;kxc;kx;Konso
;;jnd;jn;Jandavra
;;smz;sm;Simeku
;;bra;br;Braj
;;ant;an;Antakarinya
;;bqm;bq;Wumboko
;;myw;my;Muyuw
;;lbm;lb;Lodhi
;;kmd;km;Majukayang Kalinga
;;zts;zt;Tilquiapan Zapotec
;;yly;yl;Nyâlayu
;;ugy;ug;Uruguayan Sign Language
;;xaq;xa;Aquitanian
;;lag;la;Langi
;;quv;qu;Sacapulteco
;;tqm;tq;Turumsa
;;kcx;kc;Kachama-Ganjule
;;ify;if;Keley-I Kallahan
;;lbv;lb;Lavatbura-Lamusong
;;jye;jy;Judeo-Yemeni Arabic
;;kss;ks;Southern Kisi
;;fum;fu;Fum
;;ckv;ck;Kavalan
;;wpc;wp;Maco
;;tty;tt;Sikaritai
;;noh;no;Nomu
;;zpz;zp;Texmelucan Zapotec
;;kvr;kv;Kerinci
;;ycn;yc;Yucuna
;;xsd;xs;Sidetic
;;dyb;dy;Dyaberdyaber
;;owi;ow;Owiniga
;;apt;ap;Apatani
;;mam;ma;Mam
;;rab;ra;Camling
;;yid;yi;Yiddish
;;duh;du;Dungra Bhil
;;kls;kl;Kalasha
;;gby;gb;Gbari
;;ybo;yb;Yabong
;;ndc;nd;Ndau
;;mhy;mh;Ma'anyan
;;bxi;bx;Pirlatapa
;;ycp;yc;Chepya
;;vmk;vm;Makhuwa-Shirima
;;enu;en;Enu
;;ctp;ct;Western Highland Chatino
;;nsi;ns;Nigerian Sign Language
;;bsn;bs;Barasana-Eduria
;;wme;wm;Wambule
;;nna;nn;Nyangumarta
;;lra;lr;Rara Bakati'
;;nym;ny;Nyamwezi
;;ayc;ay;Southern Aymara
;;ang;an;Old English (ca. 450-1100)
;;fuy;fu;Fuyug
;;nbg;nb;Nagarchal
;;mvd;mv;Mamboru
;;pbh;pb;E'ñapa Woromaipu
;;sve;sv;Serili
;;tmv;tm;Tembo (Motembo)
;;rmz;rm;Marma
;;mok;mo;Morori
;;kll;kl;Kagan Kalagan
;;cov;co;Cao Miao
;;qxo;qx;Southern Conchucos Ancash Quechua
;;gjn;gj;Gonja
;;msi;ms;Sabah Malay
;;xpk;xp;Kulina Pano
;;lit;li;Lithuanian
;;ter;te;Tereno
;;nlv;nl;Orizaba Nahuatl
;;ser;se;Serrano
;;skw;sk;Skepi Creole Dutch
;;ldb;ld;Idun
;;doz;do;Dorze
;;tso;ts;Tsonga
;;eri;er;Ogea
;;tgh;tg;Tobagonian Creole English
;;mva;mv;Manam
;;ymk;ym;Makwe
;;asa;as;Asu (Tanzania)
;;cji;cj;Chamalal
;;kza;kz;Western Karaboro
;;srn;sr;Sranan Tongo
;;dus;du;Dumi
;;soo;so;Songo
;;mue;mu;Media Lengua
;;akm;ak;Aka-Bo
;;xmj;xm;Majera
;;vkm;vk;Kamakan
;;xmx;xm;Maden
;;sml;sm;Central Sama
;;nti;nt;Natioro
;;aam;aa;Aramanik
;;adt;ad;Adnyamathanha
;;ssk;ss;Sunam
;;kdd;kd;Yankunytjatjara
;;xcv;xc;Chuvantsy
;;sjs;sj;Senhaja De Srair
;;lmy;lm;Lamboya
;;jmx;jm;Western Juxtlahuaca Mixtec
;;cvg;cv;Chug
;;lle;ll;Lele (Papua New Guinea)
;;mur;mu;Murle
;;mib;mi;Atatláhuca Mixtec
;;enh;en;Tundra Enets
;;gdd;gd;Gedaged
;;nxx;nx;Nafri
;;vmb;vm;Mbabaram
;;eki;ek;Eki
;;otl;ot;Tilapa Otomi
;;lbi;lb;La'bi
;;snu;sn;Senggi
;;awc;aw;Cicipu
;;vag;va;Vagla
;;mma;mm;Mama
;;xtm;xt;Magdalena Peñasco Mixtec
;;uma;um;Umatilla
;;kwr;kw;Kwer
;;dmr;dm;East Damar
;;gun;gu;Mbyá Guaraní
;;kbv;kb;Dera (Indonesia)
;;tka;tk;Truká
;;gvf;gv;Golin
;;ugb;ug;Kuku-Ugbanh
;;kun;ku;Kunama
;;afk;af;Nanubae
;;wbl;wb;Wakhi
;;mvr;mv;Marau
;;ash;as;Abishira
;;mwp;mw;Kala Lagaw Ya
;;ril;ri;Riang (Myanmar)
;;nnm;nn;Namia
;;gdg;gd;Ga'dang
;;hoe;ho;Horom
;;ntk;nt;Ikoma-Nata-Isenye
;;kas;ka;Kashmiri
;;bvw;bv;Boga
;;sef;se;Cebaara Senoufo
;;nyx;ny;Nganyaywana
;;nrc;nr;Noric
;;dkx;dk;Mazagway
;;dsn;ds;Dusner
;;uba;ub;Ubang
;;bnc;bn;Bontok
;;neh;ne;Nyenkha
;;tey;te;Tulishi
;;jas;ja;New Caledonian Javanese
;;sdo;sd;Bukar-Sadung Bidayuh
;;bbi;bb;Barombi
;;kzl;kz;Kayeli
;;jru;jr;Japrería
;;sdf;sd;Sarli
;;gvo;gv;Gavião Do Jiparaná
;;btd;bt;Batak Dairi
;;mtr;mt;Mewari
;;mck;mc;Mbunda
;;til;ti;Tillamook
;;luq;lu;Lucumi
;;hmw;hm;Western Mashan Hmong
;;vlp;vl;Valpei
;;amv;am;Ambelau
;;gnh;gn;Lere
;;ulu;ul;Uma' Lung
;;tve;tv;Te'un
;;lrr;lr;Southern Lorung
;;ibb;ib;Ibibio
;;ain;ai;Ainu (Japan)
;;skm;sk;Sakam
;;wok;wo;Longto
;;ayq;ay;Ayi (Papua New Guinea)
;;ahh;ah;Aghu
;;kky;kk;Guguyimidjir
;;sjt;sj;Ter Sami
;;ynn;yn;Yana
;;mrc;mr;Maricopa
;;csr;cs;Costa Rican Sign Language
;;tre;tr;East Tarangan
;;yox;yo;Yoron
;;ssy;ss;Saho
;;ctm;ct;Chitimacha
;;hag;ha;Hanga
;;auc;au;Waorani
;;keh;ke;Keak
;;ddg;dd;Fataluku
;;sms;sm;Skolt Sami
;;bto;bt;Rinconada Bikol
;;aji;aj;Ajië
;;yon;yo;Yongkom
;;inb;in;Inga
;;reb;re;Rembong
;;crz;cr;Cruzeño
;;swk;sw;Malawi Sena
;;mct;mc;Mengisa
;;emo;em;Emok
;;xel;xe;Kelo
;;sqn;sq;Susquehannock
;;ksw;ks;S'gaw Karen
;;ann;an;Obolo
;;bky;bk;Bokyi
;;bdi;bd;Burun
;;hmr;hm;Hmar
;;bbz;bb;Babalia Creole Arabic
;;arh;ar;Arhuaco
;;ara;ar;Arabic
;;mwe;mw;Mwera (Chimwera)
;;nmy;nm;Namuyi
;;iai;ia;Iaai
;;tqt;tq;Western Totonac
;;mlp;ml;Bargam
;;ntw;nt;Nottoway
;;btx;bt;Batak Karo
;;ygw;yg;Yagwoia
;;nih;ni;Nyiha (Tanzania)
;;yta;yt;Talu
;;kgm;kg;Karipúna
;;biv;bi;Southern Birifor
;;mws;mw;Mwimbi-Muthambi
;;htu;ht;Hitu
;;mjz;mj;Majhi
;;gwi;gw;Gwichʼin
;;phm;ph;Phimbi
;;mdc;md;Male (Papua New Guinea)
;;lhi;lh;Lahu Shi
;;zoc;zo;Copainalá Zoque
;;bgk;bg;Bit
;;tux;tu;Tuxináwa
;;gqn;gq;Guana (Brazil)
;;jie;ji;Jilbe
;;oke;ok;Okpe (Southwestern Edo)
;;kwm;kw;Kwambi
;;egl;eg;Emilian
;;uzn;uz;Northern Uzbek
;;mwz;mw;Moingi
;;ote;ot;Mezquital Otomi
;;fsl;fs;French Sign Language
;;chh;ch;Chinook
;;aob;ao;Abom
